meter_id,timestamp,actual_energy,expected_energy,prediction_error,is_anomaly
M0001,2026-01-25 04:45:00,1.81,1.4997888,0.31021123886108404,True
M0001,2026-01-25 05:00:00,1.655,1.5816231,0.0733769226074219,False
M0001,2026-01-25 05:15:00,1.495,1.5017822,0.006782178878784073,False
M0001,2026-01-25 05:30:00,1.756,1.4152563,0.3407437381744385,True
M0001,2026-01-25 05:45:00,1.557,2.738869,1.1818689517974854,True
M0001,2026-01-25 06:00:00,2.593,2.8033392,0.2103392429351807,True
M0001,2026-01-25 06:15:00,2.848,2.8427684,0.005231569290160998,False
M0001,2026-01-25 06:30:00,2.574,2.8237505,0.2497504959106447,True
M0001,2026-01-25 06:45:00,2.755,2.8672066,0.11220657348632823,False
M0001,2026-01-25 07:00:00,2.839,2.8601656,0.021165596008300813,False
M0001,2026-01-25 07:15:00,2.694,2.8740947,0.18009472465515142,False
M0001,2026-01-25 07:30:00,2.9,2.8753622,0.024637842178344638,False
M0001,2026-01-25 07:45:00,2.713,2.8331168,0.12011676979064934,False
M0001,2026-01-25 08:00:00,2.932,2.8728485,0.05915148925781244,False
M0001,2026-01-25 08:15:00,3.181,2.8369513,0.3440487442016602,True
M0001,2026-01-25 08:30:00,2.57,2.8826034,0.3126034069061281,True
M0001,2026-01-25 08:45:00,2.904,2.86903,0.03497000122070304,False
M0001,2026-01-25 09:00:00,3.083,3.069258,0.013742025375366396,False
M0001,2026-01-25 09:15:00,3.158,3.067483,0.09051705169677726,False
M0001,2026-01-25 09:30:00,2.797,3.1478395,0.35083954620361313,True
M0001,2026-01-25 09:45:00,2.746,3.0256329,0.2796328582763672,True
M0001,2026-01-25 10:00:00,3.41,3.044936,0.36506405830383315,True
M0001,2026-01-25 10:15:00,3.215,3.0618382,0.1531618499755858,False
M0001,2026-01-25 10:30:00,2.996,3.274568,0.2785680809020996,True
M0001,2026-01-25 10:45:00,3.159,3.191177,0.03217689132690449,False
M0001,2026-01-25 11:00:00,3.061,3.2016535,0.1406534805297852,False
M0001,2026-01-25 11:15:00,3.027,3.0850568,0.05805678176879869,False
M0001,2026-01-25 11:30:00,3.214,3.0909986,0.123001350402832,False
M0001,2026-01-25 11:45:00,3.124,3.1099904,0.014009641647338977,False
M0001,2026-01-25 12:00:00,3.356,3.1098695,0.24613051986694323,True
M0001,2026-01-25 12:15:00,2.908,3.1327364,0.22473644447326668,True
M0001,2026-01-25 12:30:00,3.357,3.127399,0.22960103225708028,True
M0001,2026-01-25 12:45:00,3.113,3.1712294,0.05822936248779298,False
M0001,2026-01-25 13:00:00,3.209,3.2779949,0.06899487113952629,False
M0001,2026-01-25 13:15:00,3.143,3.1288674,0.014132612228393349,False
M0001,2026-01-25 13:30:00,2.898,3.1495025,0.25150251579284655,True
M0001,2026-01-25 13:45:00,3.157,3.137132,0.01986807060241702,False
M0001,2026-01-25 14:00:00,3.189,3.0957403,0.09325968170166021,False
M0001,2026-01-25 14:15:00,3.022,3.1106746,0.08867461967468282,False
M0001,2026-01-25 14:30:00,2.702,3.1010494,0.3990494232177735,True
M0001,2026-01-25 14:45:00,3.07,3.078762,0.008762054443359535,False
M0001,2026-01-25 15:00:00,3.263,3.0764244,0.18657563972473135,True
M0001,2026-01-25 15:15:00,2.929,3.0947912,0.1657911739349367,False
M0001,2026-01-25 15:30:00,3.077,3.1074963,0.03049626159667973,False
M0001,2026-01-25 15:45:00,3.195,3.144024,0.050976104736327965,False
M0001,2026-01-25 16:00:00,3.053,3.1094067,0.05640670967102057,False
M0001,2026-01-25 16:15:00,3.003,3.0611951,0.058195135116577035,False
M0001,2026-01-25 16:30:00,3.209,3.079851,0.12914908790588386,False
M0001,2026-01-25 16:45:00,3.22,3.0979664,0.12203356742858906,False
M0001,2026-01-25 17:00:00,4.81,4.5969872,0.2130127525329586,True
M0001,2026-01-25 17:15:00,4.614,4.6699996,0.05599959945678723,False
M0001,2026-01-25 17:30:00,4.822,4.6814756,0.14052436065673835,False
M0001,2026-01-25 17:45:00,4.599,4.6384106,0.03941056823730449,False
M0001,2026-01-25 18:00:00,4.895,4.543359,0.3516411972045894,True
M0001,2026-01-25 18:15:00,4.716,4.5987854,0.11721459960937519,False
M0001,2026-01-25 18:30:00,4.495,4.606047,0.11104715347290028,False
M0001,2026-01-25 18:45:00,4.697,4.605037,0.09196278762817389,False
M0001,2026-01-25 19:00:00,4.405,4.5237794,0.11877939224243139,False
M0001,2026-01-25 19:15:00,4.645,4.60059,0.044409770965575746,False
